city,state_code,race,count
FLOWER MOUND,TX,Black or African-American,3559
SPOKANE,WA,Black or African-American,10045
PHOENIX,AZ,White,1161455
CEDAR PARK,TX,White,56991
WILMINGTON,NC,Black or African-American,23578
MERCED,CA,Hispanic or Latino,43684
DEARBORN,MI,Black or African-American,3699
LEXINGTON-FAYETTE  COUNTY,KY,Asian,14066
SHREVEPORT,LA,Asian,4033
GREENVILLE,NC,Asian,2787
ARVADA,CO,Black or African-American,2985
KENDALL,FL,Black or African-American,2937
PALATINE,IL,Black or African-American,1822
PALATINE,IL,Asian,8145
COLUMBUS,OH,White,549468
SAN LEANDRO,CA,American Indian and Alaska Native,1540
STAMFORD,CT,Hispanic or Latino,33197
FRESNO,CA,Asian,75318
SAN ANGELO,TX,Asian,1658
PEMBROKE PINES,FL,Black or African-American,34507
REDLANDS,CA,Asian,6255
RIO RANCHO,NM,Asian,2374
TOMS RIVER,NJ,Black or African-American,3703
PASSAIC,NJ,Black or African-American,5230
PROVO,UT,Asian,4104
SYRACUSE,NY,American Indian and Alaska Native,3606
LAKE CHARLES,LA,American Indian and Alaska Native,592
NORTH RICHLAND HILLS,TX,White,58258
JACKSON,MS,Hispanic or Latino,3017
DENVER,CO,Asian,32491
BOISE,ID,American Indian and Alaska Native,4046
THOUSAND OAKS,CA,Black or African-American,3229
PASSAIC,NJ,Hispanic or Latino,53680
PASSAIC,NJ,White,30352
BLOOMINGTON,IL,White,60652
CARMEL,IN,Asian,11223
ROCHESTER HILLS,MI,Black or African-American,3514
MINNEAPOLIS,MN,White,277862
LAS CRUCES,NM,Black or African-American,3825
YAKIMA,WA,Asian,2248
PALMDALE,CA,Black or African-American,27398
BALTIMORE,MD,Hispanic or Latino,29953
BALTIMORE,MD,Black or African-American,396270
INDIO,CA,White,48562
FLORENCE-GRAHAM,CA,White,30591
FLORENCE-GRAHAM,CA,Black or African-American,5060
CENTREVILLE,VA,Black or African-American,6724
SANTA CLARITA,CA,Asian,23168
DEERFIELD BEACH,FL,Asian,1428
YORBA LINDA,CA,Hispanic or Latino,10599
BUENA PARK,CA,American Indian and Alaska Native,361
SAN CLEMENTE,CA,Black or African-American,251
ROUND ROCK,TX,Hispanic or Latino,37151
ROUND ROCK,TX,American Indian and Alaska Native,1551
LAWRENCE,KS,Hispanic or Latino,6435
DENTON,TX,Asian,7061
DOWNEY,CA,Hispanic or Latino,84806
DOWNEY,CA,Black or African-American,5498
LAFAYETTE,LA,Asian,2776
CHINO HILLS,CA,White,40030
LONG BEACH,CA,American Indian and Alaska Native,12841
SPRINGFIELD,MA,Black or African-American,35284
FORT SMITH,AR,American Indian and Alaska Native,2993
SAN BERNARDINO,CA,White,123174
SAN BERNARDINO,CA,American Indian and Alaska Native,4520
NEWPORT BEACH,CA,Hispanic or Latino,8127
FALL RIVER,MA,Asian,1891
SPRINGFIELD,IL,Hispanic or Latino,2738
SPRINGFIELD,IL,American Indian and Alaska Native,1602
SCHENECTADY,NY,Asian,5140
SAINT PAUL,MN,Asian,58174
PHILADELPHIA,PA,American Indian and Alaska Native,17500
MURFREESBORO,TN,Hispanic or Latino,8840
PEARLAND,TX,Hispanic or Latino,26460
SOUTH GATE,CA,White,55444
SOUTH GATE,CA,Black or African-American,1615
RACINE,WI,Hispanic or Latino,18215
VIRGINIA BEACH,VA,American Indian and Alaska Native,4590
BROWNSVILLE,TX,Asian,1589
TRACY,CA,White,58041
ASHEVILLE,NC,Black or African-American,9078
ASHEVILLE,NC,American Indian and Alaska Native,496
COSTA MESA,CA,Asian,9165
INGLEWOOD,CA,American Indian and Alaska Native,1395
BAYONNE,NJ,White,41431
NEW HAVEN,CT,Asian,7966
SALT LAKE CITY,UT,Black or African-American,5365
TRENTON,NJ,Black or African-American,43471
TYLER,TX,American Indian and Alaska Native,1057
NAPA,CA,Asian,3593
CENTENNIAL,CO,Black or African-American,4005
SUNRISE,FL,Black or African-American,33951
LAWRENCE,MA,White,40757
LAWRENCE,MA,Black or African-American,9221
TUCSON,AZ,White,404342
WESTMINSTER,CA,American Indian and Alaska Native,1022
COLUMBIA,MD,Hispanic or Latino,8033
COLUMBIA,MD,Asian,17821
FULLERTON,CA,American Indian and Alaska Native,1668
LAKE FOREST,CA,White,59846
STOCKTON,CA,Asian,76859
CARROLLTON,TX,Black or African-American,10923
CEDAR PARK,TX,Black or African-American,3667
SAN ANTONIO,TX,White,1240092
OREM,UT,White,85512
CHANDLER,AZ,American Indian and Alaska Native,6601
NORMAN,OK,White,106409
NORMAN,OK,Black or African-American,6620
YOUNGS,OH,American Indian and Alaska Native,875
LITTLE ROCK,AR,American Indian and Alaska Native,961
ERIE,PA,American Indian and Alaska Native,913
MOUNTAIN VIEW,CA,American Indian and Alaska Native,577
HAYWARD,CA,Hispanic or Latino,64880
BK,CA,Asian,14636
EVANSTON,IL,Black or African-American,11671
YONKERS,NY,Asian,13981
LAKEWOOD,CA,American Indian and Alaska Native,398
MIRAMAR,FL,Asian,12084
LORAIN,OH,Asian,308
SANDY,UT,White,85130
MORENO VALLEY,CA,Black or African-American,35550
NAMPA,ID,White,80776
DELRAY BEACH,FL,Asian,1696
RAPID CITY,SD,Hispanic or Latino,2971
NEWPORT NEWS,VA,Black or African-American,79245
GREELEY,CO,Hispanic or Latino,39271
FARMINGTON HILLS,MI,American Indian and Alaska Native,313
DENTON,TX,Hispanic or Latino,29350
LAFAYETTE,LA,Hispanic or Latino,6556
ALAFAYA,FL,Hispanic or Latino,34897
GRESHAM,OR,Hispanic or Latino,23576
GRESHAM,OR,American Indian and Alaska Native,2084
FEDERAL WAY,WA,American Indian and Alaska Native,2396
JACKSONVILLE,FL,White,543582
URBAN HONOLULU,HI,Black or African-American,11781
GAINESVILLE,FL,American Indian and Alaska Native,740
RICHMOND,CA,Asian,20082
DELTONA,FL,Black or African-American,12056
WATERLOO,IA,Asian,1636
JERSEY CITY,NJ,Hispanic or Latino,79718
FORT SMITH,AR,Asian,6228
TUSCALOOSA,AL,Hispanic or Latino,2475
SAN BERNARDINO,CA,Hispanic or Latino,136214
WEST COVINA,CA,American Indian and Alaska Native,518
LINCOLN,NE,American Indian and Alaska Native,4281
MISSION VIEJO,CA,White,81186
FOLSOM,CA,White,57435
FOLSOM,CA,Black or African-American,3985
DALE CITY,VA,Asian,9251
ROCKFORD,IL,American Indian and Alaska Native,2301
TAMPA,FL,American Indian and Alaska Native,2915
RACINE,WI,Asian,1175
FREDERICK,MD,Black or African-American,13372
CHAMPAIGN,IL,Asian,11746
MARYSVILLE,WA,White,58894
BAYONNE,NJ,Hispanic or Latino,19525
HOMESTEAD,FL,White,48820
ALBUQUERQUE,NM,White,411847
PALO ALTO,CA,Black or African-American,1049
PUEBLO,CO,Asian,2468
RALEIGH,NC,White,275892
KANSAS CITY,MO,Black or African-American,147739
PLANO,TX,Hispanic or Latino,42959
PLANO,TX,White,195220
TYLER,TX,White,72728
TYLER,TX,Black or African-American,26156
HESPERIA,CA,White,78718
TEMECULA,CA,American Indian and Alaska Native,2236
BOYNTON BEACH,FL,Asian,2114
JACKSON,TN,American Indian and Alaska Native,564
SAN TAN VALLEY,AZ,Hispanic or Latino,18733
TUCSON,AZ,Black or African-American,33900
WESTMINSTER,CA,Hispanic or Latino,19111
LEHIGH ACRES,FL,Black or African-American,29998
LEHIGH ACRES,FL,Asian,1853
LARGO,FL,White,73502
NORWALK,CT,Black or African-American,15129
PAWTUCKET,RI,American Indian and Alaska Native,1359
INDIANAPOLIS,IN,Hispanic or Latino,83426
FLAGSTAFF,AZ,Hispanic or Latino,13606
PORT SAINT LUCIE,FL,Black or African-American,32986
WAUKEGAN,IL,White,65629
TOWN 'N' COUNTRY,FL,White,64441
SAINT CLOUD,MN,Black or African-American,6401
FARGO,ND,American Indian and Alaska Native,3102
ATASCOCITA,TX,Asian,2441
MESQUITE,TX,Asian,4496
MIDLAND,TX,White,115958
ALEXANDRIA,VA,Hispanic or Latino,25573
ALEXANDRIA,VA,White,106215
ALEXANDRIA,VA,Black or African-American,37168
TOPEKA,KS,American Indian and Alaska Native,4804
CARY,NC,Black or African-American,15496
OMAHA,NE,White,353417
PALM BAY,FL,Hispanic or Latino,16841
MANCHESTER,NH,Asian,4304
OLATHE,KS,Black or African-American,9518
SIOUX FALLS,SD,Black or African-American,10904
PORTSMOUTH,VA,White,43004
VACAVILLE,CA,Asian,9273
CHICAGO,IL,Black or African-American,873316
CHARLESTON,SC,Hispanic or Latino,3929
CHARLESTON,SC,White,104016
REDONDO BEACH,CA,Black or African-American,2234
HOLLYWOOD,FL,Black or African-American,34916
GASTONIA,NC,Black or African-American,22179
KNOXVILLE,TN,Black or African-American,35049
WESTLAND,MI,Black or African-American,16422
ORLANDO,FL,White,179121
JACKSON,MS,White,28775
COLUMBIA,MO,Asian,8673
YUMA,AZ,White,69691
ROANOKE,VA,American Indian and Alaska Native,594
REDLANDS,CA,Black or African-American,6973
BRENTWOOD,NY,Hispanic or Latino,40111
WYOMING,MI,White,58989
LAWTON,OK,Hispanic or Latino,13780
READING,PA,Black or African-American,20821
READING,PA,American Indian and Alaska Native,9671
VICTORIA,TX,Black or African-American,6058
PROVO,UT,Hispanic or Latino,16668
RIALTO,CA,White,74551
RIALTO,CA,Black or African-American,11800
POMONA,CA,American Indian and Alaska Native,3866
WARNER ROBINS,GA,White,42306
PLEASANTON,CA,Hispanic or Latino,7949
NORWALK,CT,Asian,2954
CEDAR PARK,TX,American Indian and Alaska Native,219
EAST LOS ANGELES,CA,Hispanic or Latino,116211
MONTGOMERY,AL,Hispanic or Latino,6648
PORT SAINT LUCIE,FL,White,135049
BRANDON,FL,American Indian and Alaska Native,1921
NEW BRITAIN,CT,Hispanic or Latino,30188
FORT COLLINS,CO,White,150568
SIMI VALLEY,CA,American Indian and Alaska Native,2474
JACKSONVILLE,NC,Asian,4204
SANDY,UT,Hispanic or Latino,6832
SANDY,UT,American Indian and Alaska Native,507
EL MONTE,CA,Hispanic or Latino,77523
ROSWELL,GA,White,69857
TOPEKA,KS,Black or African-American,15030
NAMPA,ID,Black or African-American,1600
SAINT JOSEPH,MO,White,68293
WARREN,MI,White,96357
TROY,MI,Black or African-American,5294
PORTSMOUTH,VA,Hispanic or Latino,3896
DAVENPORT,IA,White,88145
DAVENPORT,IA,Asian,3071
ARDEN-ARCADE,CA,Black or African-American,13647
LARGO,FL,Black or African-American,5860
AUSTIN,TX,White,708171
CONCORD,CA,Asian,17453
WICHITA FALLS,TX,Hispanic or Latino,23061
FREMONT,CA,White,67294
THORNTON,CO,Hispanic or Latino,49241
DEARBORN,MI,American Indian and Alaska Native,713
CRANSTON,RI,Black or African-American,8193
KENOSHA,WI,Black or African-American,11915
KENOSHA,WI,American Indian and Alaska Native,1264
GARY,IN,White,13498
SAN BUENAVENTURA,CA,Asian,6547
PALM COAST,FL,Asian,2479
HIALEAH,FL,White,219991
SCOTTSDALE,AZ,Hispanic or Latino,24766
FRESNO,CA,White,325651
CLIFTON,NJ,Black or African-American,8743
DENVER,CO,American Indian and Alaska Native,14008
ROANOKE,VA,White,68761
BELLFLOWER,CA,American Indian and Alaska Native,783
BROOMFIELD,CO,American Indian and Alaska Native,601
JOLIET,IL,American Indian and Alaska Native,523
RIVERSIDE,CA,Hispanic or Latino,160697
MENIFEE,CA,Hispanic or Latino,29790
POMONA,CA,Black or African-American,10774
BLOOMINGTON,IL,Hispanic or Latino,3461
MINNEAPOLIS,MN,Black or African-American,89996
GLENDALE,CA,Black or African-American,4619
CARSON,CA,Black or African-American,19947
SAN MARCOS,CA,American Indian and Alaska Native,821
PORTLAND,OR,American Indian and Alaska Native,15314
DES MOINES,IA,American Indian and Alaska Native,3964
SAN FRANCISCO,CA,Hispanic or Latino,132114
AUBURN,WA,White,58293
CAMARILLO,CA,American Indian and Alaska Native,742
CENTREVILLE,VA,American Indian and Alaska Native,355
SANTA CLARITA,CA,Hispanic or Latino,56944
SANTA CLARITA,CA,White,144949
SANTA CLARITA,CA,American Indian and Alaska Native,4441
GREELEY,CO,Asian,2202
SAN CLEMENTE,CA,Asian,4296
SKOKIE,IL,Hispanic or Latino,6590
BILLINGS,MT,Hispanic or Latino,7526
WEST JORDAN,UT,White,100150
ORANGE,CA,Asian,22457
DOWNEY,CA,American Indian and Alaska Native,535
REDWOOD CITY,CA,Black or African-American,2758
HOOVER,AL,Black or African-American,18191
GRAND PRAIRIE,TX,White,113981
EVERETT,WA,Black or African-American,8304
WAUKESHA,WI,Hispanic or Latino,9713
WATERLOO,IA,White,51252
KISSIMMEE,FL,White,51123
NORTH LAS VEGAS,NV,Hispanic or Latino,94804
WEST COVINA,CA,Hispanic or Latino,58907
SALINAS,CA,Black or African-American,3391
SCHENECTADY,NY,White,40278
PARADISE,NV,Black or African-American,25091
EVANSVILLE,IN,Asian,1376
HILLSBORO,OR,American Indian and Alaska Native,4524
WICHITA,KS,Asian,25210
FORT MYERS,FL,Hispanic or Latino,17866
PITTSBURGH,PA,American Indian and Alaska Native,2689
THE WOODLANDS,TX,Asian,8828
LONGVIEW,TX,Black or African-American,19904
UPLAND,CA,Black or African-American,5717
MILWAUKEE,WI,White,297038
MEMPHIS,TN,White,202961
RACINE,WI,Black or African-American,20014
SANTA MONICA,CA,Hispanic or Latino,14973
TOLEDO,OH,Hispanic or Latino,23614
COSTA MESA,CA,Black or African-American,2925
SHAWNEE,KS,White,55883
HOMESTEAD,FL,Hispanic or Latino,41910
ALBUQUERQUE,NM,Asian,25140
NORTH CHARLESTON,SC,Hispanic or Latino,12975
YORBA LINDA,CA,White,49980
YORBA LINDA,CA,Asian,17616
BUENA PARK,CA,Asian,24624
GREELEY,CO,American Indian and Alaska Native,2449
REDWOOD CITY,CA,Asian,14873
SUNRISE MANOR,NV,American Indian and Alaska Native,3962
GRAND PRAIRIE,TX,Asian,11446
LUBBOCK,TX,American Indian and Alaska Native,7627
KENT,WA,American Indian and Alaska Native,3651
WAUKESHA,WI,American Indian and Alaska Native,481
CITRUS HEIGHTS,CA,White,77525
KISSIMMEE,FL,Asian,2634
NORTH LAS VEGAS,NV,Black or African-American,54093
KIRKLAND,WA,Asian,15277
SAN MATEO,CA,Black or African-American,2880
GARDEN GROVE,CA,White,66782
BATON ROUGE,LA,American Indian and Alaska Native,1119
WICHITA,KS,Black or African-American,52592
DALE CITY,VA,White,34640
LONGVIEW,TX,White,60997
LIVERMORE,CA,Hispanic or Latino,19582
BERKELEY,CA,Black or African-American,11255
CHATTANOOGA,TN,White,114140
MEMPHIS,TN,American Indian and Alaska Native,4127
FAYETTEVILLE,AR,Asian,4707
SANTA ROSA,CA,Hispanic or Latino,54578
SPARKS,NV,American Indian and Alaska Native,2019
RICHMOND,VA,Black or African-American,109722
RICHMOND,VA,American Indian and Alaska Native,4902
EAU CLAIRE,WI,Black or African-American,725
PATERSON,NJ,Asian,9653
PATERSON,NJ,American Indian and Alaska Native,1083
BEAVERTON,OR,American Indian and Alaska Native,905
CONROE,TX,White,57480
CEDAR RAPIDS,IA,Black or African-American,11921
EDMOND,OK,Asian,5349
SACRAMENTO,CA,White,268151
DETROIT,MI,Black or African-American,545988
COMPTON,CA,Hispanic or Latino,67523
SAINT CHARLES,MO,Hispanic or Latino,4070
BRYAN,TX,Hispanic or Latino,29647
TEMPLE,TX,American Indian and Alaska Native,1615
SPOKANE,WA,Hispanic or Latino,13365
COLORADO SPRINGS,CO,American Indian and Alaska Native,11146
ROCKVILLE,MD,Black or African-American,7533
VANCOUVER,WA,Asian,10882
FULLERTON,CA,White,92216
STOCKTON,CA,White,170878
EAGAN,MN,Asian,6923
PAWTUCKET,RI,Hispanic or Latino,16117
PAWTUCKET,RI,White,47614
IRVINE,CA,Black or African-American,8670
NORMAN,OK,American Indian and Alaska Native,10801
YOUNGS,OH,Asian,247
INDEPENDENCE,MO,Hispanic or Latino,12236
CLARKSVILLE,TN,Asian,6348
ONTARIO,CA,Black or African-American,12900
ALAMEDA,CA,American Indian and Alaska Native,1329
CLOVIS,CA,White,78029
BRANDON,FL,Black or African-American,23475
ERIE,PA,Black or African-American,20564
WOODBURY,MN,Hispanic or Latino,3258
MOUNTAIN VIEW,CA,Hispanic or Latino,16397
GILBERT,AZ,Black or African-American,9076
BK,CA,American Indian and Alaska Native,1639
MESA,AZ,Black or African-American,22699
SOUTH BEND,IN,Hispanic or Latino,16462
SOUTH BEND,IN,American Indian and Alaska Native,411
CAMDEN,NJ,Hispanic or Latino,41473
WEST VALLEY CITY,UT,Hispanic or Latino,44080
LANCASTER,CA,American Indian and Alaska Native,2186
SAN RAMON,CA,Black or African-American,2734
RIVERVIEW,FL,Asian,3582
APPLETON,WI,White,64674
BIRMINGHAM,AL,American Indian and Alaska Native,1319
DOTHAN,AL,Black or African-American,23243
HAMMOND,IN,American Indian and Alaska Native,1509
RAPID CITY,SD,Black or African-American,2217
RAPID CITY,SD,American Indian and Alaska Native,9159
NEWPORT NEWS,VA,Asian,8275
CARY,NC,White,119814
SAINT LOUIS,MO,White,155574
OMAHA,NE,American Indian and Alaska Native,6318
ALLEN,TX,American Indian and Alaska Native,227
EL PASO,TX,White,587683
KENOSHA,WI,Hispanic or Latino,18772
SHREVEPORT,LA,American Indian and Alaska Native,1647
CHICAGO,IL,Asian,195084
HOLLYWOOD,FL,Asian,4696
ATHENS-CLARKE COUNTY UNIFIED GOVERNMENT,GA,Hispanic or Latino,13159
NORTH RICHLAND HILLS,TX,American Indian and Alaska Native,1127
LIVONIA,MI,Hispanic or Latino,1772
MCALLEN,TX,Hispanic or Latino,113829
CHEEKTOWAGA,NY,Asian,1584
SCOTTSDALE,AZ,White,205512
YUMA,AZ,Hispanic or Latino,57054
SCRANTON,PA,Black or African-American,6256
ALHAMBRA,CA,Asian,44067
WALDORF,MD,Asian,4100
RIALTO,CA,Hispanic or Latino,78571
SKOKIE,IL,White,40642
FARMINGTON HILLS,MI,Hispanic or Latino,2052
FARMINGTON HILLS,MI,White,57815
LAFAYETTE,LA,White,85282
SANTA FE,NM,American Indian and Alaska Native,2960
LUBBOCK,TX,White,206318
GRESHAM,OR,Black or African-American,7721
LONG BEACH,CA,Hispanic or Latino,207890
URBAN HONOLULU,HI,Hispanic or Latino,24586
WATERLOO,IA,Hispanic or Latino,4961
JERSEY CITY,NJ,Asian,67610
AKRON,OH,White,129192
NEWPORT BEACH,CA,American Indian and Alaska Native,423
PASCO,WA,Hispanic or Latino,38883
GREEN BAY,WI,American Indian and Alaska Native,6547
MISSION VIEJO,CA,Asian,13073
GARDEN GROVE,CA,American Indian and Alaska Native,1713
MODESTO,CA,Hispanic or Latino,85141
HILLSBORO,OR,Black or African-American,4347
DALE CITY,VA,Black or African-American,18074
ESCONDIDO,CA,White,120781
UNION CITY,NJ,Hispanic or Latino,53174
UPLAND,CA,American Indian and Alaska Native,1068
PERRIS,CA,Asian,3341
SANTA CLARA,CA,Black or African-American,4580
SANTA CLARA,CA,Asian,58360
SOUTH GATE,CA,American Indian and Alaska Native,618
SANTA MONICA,CA,American Indian and Alaska Native,2197
VIRGINIA BEACH,VA,Black or African-American,99948
SANTA MARIA,CA,Asian,5058
FREDERICK,MD,Asian,5711
BROWNSVILLE,TX,White,174670
TOLEDO,OH,Asian,6850
CONROE,TX,Hispanic or Latino,23863
SOUTH JORDAN,UT,White,59046
VISALIA,CA,White,107322
BROOKLYN PARK,MN,American Indian and Alaska Native,1173
DETROIT,MI,Asian,10804
DETROIT,MI,American Indian and Alaska Native,6007
SALT LAKE CITY,UT,White,150136
PLANO,TX,Asian,59958
DAVIS,CA,Black or African-American,2081
HESPERIA,CA,American Indian and Alaska Native,1712
NAPA,CA,White,57837
TEMECULA,CA,Hispanic or Latino,36246
BRYAN,TX,Asian,2688
SAN TAN VALLEY,AZ,White,75429
COLORADO SPRINGS,CO,Black or African-American,38976
EAST ORANGE,NJ,Hispanic or Latino,6368
CAPE CORAL,FL,Hispanic or Latino,33016
CASAS ADOBES,AZ,Black or African-American,1854
FULLERTON,CA,Black or African-American,5241
GAITHERSBURG,MD,White,36639
GAITHERSBURG,MD,Black or African-American,12482
VACAVILLE,CA,American Indian and Alaska Native,3140
INDEPENDENCE,MO,Asian,558
CLARKSVILLE,TN,White,104626
KENNEWICK,WA,Asian,4252
FLAGSTAFF,AZ,White,58696
COLUMBUS,GA,White,97436
NEW BRITAIN,CT,Asian,2297
EL CAJON,CA,Asian,4561
LORAIN,OH,White,46667
NAMPA,ID,Asian,1486
VISTA,CA,White,83529
CICERO,IL,American Indian and Alaska Native,964
PASADENA,TX,American Indian and Alaska Native,1993
SPRING HILL,FL,White,91742
MERCED,CA,Asian,9911
RICHARDSON,TX,Hispanic or Latino,15762
LAKE CHARLES,LA,Black or African-American,38358
NORTH RICHLAND HILLS,TX,Hispanic or Latino,10195
OKLAHOMA CITY,OK,Black or African-American,111673
CHESAPEAKE,VA,Asian,11354
COLUMBUS,OH,Hispanic or Latino,46855
PALM COAST,FL,Hispanic or Latino,8706
ALBANY,GA,American Indian and Alaska Native,445
JACKSON,MS,Asian,864
SAINT GEORGE,UT,American Indian and Alaska Native,2406
PARMA,OH,Black or African-American,2928
JOHNSON CITY,TN,White,59147
SPRINGDALE,AR,Hispanic or Latino,30200
BROOMFIELD,CO,Black or African-American,1154
JOLIET,IL,Hispanic or Latino,45291
PLYMOUTH,MN,American Indian and Alaska Native,760
WYOMING,MI,Asian,3227
TALLAHASSEE,FL,White,112800
KENNER,LA,Hispanic or Latino,17769
CORONA,CA,White,119403
BALTIMORE,MD,White,207274
NORWALK,CA,American Indian and Alaska Native,1165
CONCORD,NC,Asian,3566
ROCHESTER,MN,Asian,9839
ROCHESTER,MN,American Indian and Alaska Native,1172
OSHKOSH,WI,Asian,3182
OSHKOSH,WI,American Indian and Alaska Native,237
BUENA PARK,CA,Black or African-American,901
WEST JORDAN,UT,Asian,3539
BEAUMONT,TX,White,53597
BEAUMONT,TX,Black or African-American,58008
LUBBOCK,TX,Black or African-American,23594
GRESHAM,OR,Asian,6641
AVONDALE,AZ,American Indian and Alaska Native,613
BALDWIN PARK,CA,Black or African-American,1560
OAKLAND,CA,Black or African-American,118228
AUGUSTA-RICHMOND COUNTY CONSOLIDATED GOVERNMENT,GA,American Indian and Alaska Native,1667
SAINT PAUL,MN,White,191369
PASCO,WA,White,55741
PHILADELPHIA,PA,Hispanic or Latino,219038
VICTORVILLE,CA,Hispanic or Latino,60569
VICTORVILLE,CA,American Indian and Alaska Native,5305
HILLSBORO,OR,Asian,13704
THE WOODLANDS,TX,Black or African-American,6420
PEARLAND,TX,Asian,14683
ROCKFORD,IL,Asian,5500
ALLEN,PA,Hispanic or Latino,59176
SALEM,OR,White,148650
SANTA MARIA,CA,White,90403
ROSEVILLE,CA,Black or African-American,4413
FREDERICK,MD,Hispanic or Latino,13065
SPARKS,NV,White,78737
VISALIA,CA,Hispanic or Latino,63482
VISALIA,CA,Black or African-American,2525
GERMAN,MD,American Indian and Alaska Native,1232
SCHAUMBURG,IL,White,43688
PUEBLO,CO,Black or African-American,4107
FORT WAYNE,IN,White,204114
NASHUA,NH,American Indian and Alaska Native,655
COMPTON,CA,White,53919
DAVIS,CA,Asian,17816
DAVIE,FL,Black or African-American,11005
VANCOUVER,WA,White,149863
PHOENIX,AZ,American Indian and Alaska Native,41748
DALY CITY,CA,American Indian and Alaska Native,893
SOUTH SAN FRANCISCO,CA,White,28135
SOUTH SAN FRANCISCO,CA,Asian,23008
EAST LOS ANGELES,CA,Black or African-American,508
VACAVILLE,CA,White,66825
LITTLE ROCK,AR,Black or African-American,85606
ONTARIO,CA,Hispanic or Latino,118292
BOSSIER CITY,LA,Asian,2175
SAINT CLOUD,MN,Asian,2494
EVANSTON,IL,Hispanic or Latino,9075
PITTSBURG,CA,Hispanic or Latino,28605
JONESBORO,AR,Hispanic or Latino,4614
JOHNS CREEK,GA,Hispanic or Latino,5924
ROSWELL,GA,American Indian and Alaska Native,585
NEWPORT NEWS,VA,White,95151
SAINT LOUIS,MO,Asian,12209
STERLING HEIGHTS,MI,Asian,12264
JURUPA VALLEY,CA,Black or African-American,3091
PLEASANTON,CA,Asian,27662
TEMPLE,TX,Hispanic or Latino,21372
ARDEN-ARCADE,CA,Hispanic or Latino,15273
DAVIE,FL,Hispanic or Latino,35311
PASADENA,TX,White,140240
HUNTSVILLE,AL,Asian,6566
THORNTON,CO,Asian,7034
LYNWOOD,CA,White,48670
EL PASO,TX,Black or African-American,34473
LEXINGTON-FAYETTE  COUNTY,KY,White,249339
SPRINGFIELD,MO,Asian,5725
CHICAGO,IL,Hispanic or Latino,785725
GREENVILLE,NC,White,50289
ELIZABETH,NJ,American Indian and Alaska Native,797
NORFOLK,VA,Black or African-American,107893
GASTONIA,NC,American Indian and Alaska Native,603
KNOXVILLE,TN,White,145055
LIVONIA,MI,American Indian and Alaska Native,445
CHEEKTOWAGA,NY,Hispanic or Latino,1994
CHEEKTOWAGA,NY,Black or African-American,10562
ALBANY,GA,White,17160
PASADENA,CA,American Indian and Alaska Native,2161
SPRINGDALE,AR,Asian,1422
ALHAMBRA,CA,White,20811
LOWELL,MA,American Indian and Alaska Native,868
READING,PA,White,64401
VICTORIA,TX,Hispanic or Latino,34409
CLEARWATER,FL,Black or African-American,12369
MADISON,WI,Asian,23937
PALMDALE,CA,Hispanic or Latino,87452
GLEN BURNIE,MD,Black or African-American,17010
GULFPORT,MS,Hispanic or Latino,4247
GULFPORT,MS,Asian,1723
BEND,OR,White,83689
LAFAYETTE,LA,Black or African-American,39862
SANTA FE,NM,White,75494
CHINO HILLS,CA,Hispanic or Latino,22539
BRIDGEPORT,CT,American Indian and Alaska Native,2527
AUGUSTA-RICHMOND COUNTY CONSOLIDATED GOVERNMENT,GA,White,77940
SCHENECTADY,NY,American Indian and Alaska Native,1059
O'FALLON,MO,White,77049
BROKEN ARROW,OK,Asian,4206
BATON ROUGE,LA,White,96730
SANDY SPRINGS,GA,White,78835
RALEIGH,NC,Asian,24865
HESPERIA,CA,Black or African-American,4889
NAPA,CA,Black or African-American,675
DALLAS,TX,Black or African-American,322570
WESTMINSTER,CA,Asian,46560
CEDAR PARK,TX,Hispanic or Latino,11872
IRVINE,CA,Hispanic or Latino,19266
MONTGOMERY,AL,Black or African-American,121360
PORT SAINT LUCIE,FL,American Indian and Alaska Native,1536
ALAMEDA,CA,Hispanic or Latino,8265
ALAMEDA,CA,White,44232
NEW ORLEANS,LA,White,140314
ARLINGTON,TX,Black or African-American,92955
TORRANCE,CA,Hispanic or Latino,25699
BOSTON,MA,Hispanic or Latino,130656
BOSTON,MA,Asian,69976
EVANSTON,IL,American Indian and Alaska Native,544
ATASCOCITA,TX,White,50630
PITTSBURG,CA,Black or African-American,14931
HARTFORD,CT,Hispanic or Latino,55959
ARLINGTON HEIGHTS,IL,White,66285
RENO,NV,Hispanic or Latino,59902
JOHNS CREEK,GA,Black or African-American,11273
HAMMOND,IN,Black or African-American,20442
BELLEVUE,WA,Hispanic or Latino,12215
MELBOURNE,FL,Black or African-American,11721
MANCHESTER,NH,White,100108
MANCHESTER,NH,Black or African-American,6896
BROCKTON,MA,Black or African-American,43646
NEW ROCHELLE,NY,Hispanic or Latino,23548
MERIDIAN,ID,Black or African-American,1809
CORPUS CHRISTI,TX,Black or African-American,14978
AMES,IA,Black or African-American,1103
REDWOOD CITY,CA,Hispanic or Latino,29011
MURFREESBORO,TN,Asian,7265
LONGVIEW,TX,Asian,1810
UNION CITY,NJ,White,50031
SANTA MONICA,CA,White,70365
WORCESTER,MA,American Indian and Alaska Native,1917
PROVIDENCE,RI,Black or African-American,30638
BROWNSVILLE,TX,American Indian and Alaska Native,1165
COSTA MESA,CA,White,87320
WESTMINSTER,CO,American Indian and Alaska Native,1444
OGDEN,UT,Black or African-American,2620
